name,id,date_start,date_end,region,type,event,draw,round,score
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Round 3,21-921-10
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Quarter Finals,21-1421-6
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Round 3,21-321-6
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Semi Finals,21-921-14
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Round 3,21-321-5
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Quarter Finals,21-921-4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Round 3,21-021-0
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Round 2,21-1221-12
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Finals,21-1221-11
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Round 3,21-921-8
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,1,Quarter Finals,21-1621-7
