name,id,date_start,date_end,region,type,event,age_group,discipline,rank,player1,player2,seed
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,U11,BS,1,Naksh Shetty,,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,U11,BS,2,Devaansh Mahato,,5/8
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,U11,BS,3,Shrihayagrivan Karthigayan,,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U11,U11,BS,4,Mingyuan Zang,,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U13,U13,BS,1,Chiranjeev Deepak,,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U13,U13,BS,2,Daiwik Reddy,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U13,U13,BS,3,Eli You,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U13,U13,BS,4,Ethan Qiu,,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U15,U15,BS,1,Seth Li,,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U15,U15,BS,2,Ayaaz Muhammed Baig,,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U15,U15,BS,3,Jacob Ma,,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U15,U15,BS,4,Pranav Vivek,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U17,U17,BS,1,Hanyi Zhang,,5/8
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U17,U17,BS,2,Terence Cai,,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U17,U17,BS,3,Alex Wen,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U17,U17,BS,4,Krish Ashok,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U19,U19,BS,1,Jay Chun,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U19,U19,BS,2,Vaughn Zhao,,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U19,U19,BS,3,Suraj Rajesh Kumar,,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,BS U19,U19,BS,4,Napat Srisalaipaisal,,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U11,U11,GS,1,Xiner Hu,,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U11,U11,GS,2,Aadya Yanamandra,,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U11,U11,GS,3,Eesha Vikram,,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U11,U11,GS,4,Emily Feng,,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U13,U13,GS,1,Bella Liu,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U13,U13,GS,2,Hanyi (Sissi) Lei,,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U13,U13,GS,3,Alaina Benjamin,,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U13,U13,GS,4,Hannah Xiao,,5/8
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U15,U15,GS,1,Lexuan Wen,,1
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U15,U15,GS,2,Jessica Zhang,,3/4
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U15,U15,GS,3,Charvi Srivastava,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U15,U15,GS,4,Elena Zhang,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U17,U17,GS,1,Alice Meng,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U17,U17,GS,2,Selena Wei,,
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U17,U17,GS,3,Ishi Reddy,,2
2025 YONEX Bellevue Northwest ORC,D96AD8D0-A9D8-4679-939E-82E9963A49A7,2025-08-30,2025-09-01,NW,ORC,GS U17,U17,GS,4,Jennifer Bangcaya,,3/4
