age_group,discipline,rank,player,total_pts,counted,total,top4_detail
U11,BS,1,Naksh Shetty,3656,4,4,Junior_Nationals 1-1(1701) | Bellevue_NW_ORC 1-1(850) | SPBA_Midwest_ORC 1-1(850) | ABC_OLC 1-1(255)
U11,BS,2,Neel Achari,2975,4,10,Arena_SoCal_ORC 1-1(850) | DFW_South_ORC 1-1(850) | Synergy_NorCal_ORC 4-4(680) | Junior_Nationals 13-16(595)
U11,BS,3,Avyukth Reddy Pati,2805,4,12,LIBC_NE_ORC 2-2(765) | Arena_SoCal_ORC 2-2(765) | DFW_South_ORC 2-2(765) | Junior_Nationals 17-24(510)
U11,BS,4,Daksh Thakur,1956,4,10,Arena_SoCal_ORC 3-3(723) | DFW_South_ORC 3-3(723) | Egret_Midwest_OLC 1-1(255) | Peak_Sports_OLC2 1-1(255)
U11,BS,5,Ayushmaan Senapati,1764,4,9,Arena_SoCal_ORC 4-4(680) | LIBC_NE_ORC 5-8(531) | SPBA_Midwest_ORC 13-16(340) | Synergy_NorCal_ORC 17-32(213)
U11,BS,6,Srinivas Shankar,1619,4,11,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 5-8(531) | Junior_Nationals 25-32(340) | Egret_Midwest_OLC 3-3(217)
U11,BS,7,Harry H Song,1615,4,8,DFW_South_ORC 4-4(680) | LIBC_NE_ORC 9-16(340) | Arena_SoCal_ORC 9-16(340) | Junior_Nationals 33-48(255)
U11,BS,8,Arudh Sundar,1551,4,9,Arena_SoCal_ORC 5-8(531) | Junior_Nationals 25-32(340) | LIBC_NE_ORC 9-16(340) | SPBA_Midwest_ORC 13-16(340)
U11,BS,9,Bowen Wang,1522,4,9,Arena_SoCal_ORC 5-8(531) | DFW_South_ORC 5-8(531) | SGVBC_SoCal_CRC 2-2(230) | Dave_Freeman_OLC 2-2(230)
U11,BS,10,Devaansh Surpur,1441,4,11,Arena_SoCal_ORC 5-8(531) | LIBC_NE_ORC 9-16(340) | DFW_South_ORC 9-16(340) | Peak_Sports_OLC2 2-2(230)
U11,BS,11,Aiden Yu,1428,4,9,DFW_South_ORC 5-8(531) | Junior_Nationals 25-32(340) | SPBA_Midwest_ORC 9-12(340) | Dave_Freeman_OLC 3-3(217)
U11,BS,12,Jeremiah Wang,1165,4,7,SPBA_Midwest_ORC 13-16(340) | DFW_South_ORC 9-16(340) | Junior_Nationals 33-48(255) | Wayside_NE_CRC 2-2(230)
U11,BS,13,Mahith Jajula,1148,4,8,Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 9-16(340) | Wayside_NE_CRC 1-1(255) | LIBC_NE_ORC 17-32(213)
U11,BS,14,Devansh Ponnapalli,1130,4,7,SPBA_Midwest_ORC 7-8(531) | Fortius_South_CRC 4-4(204) | Peak_Sports_OLC 4-4(204) | Junior_Nationals 49-64(191)
U11,BS,15,Akhil Sivakumar,1079,4,4,DFW_South_ORC 5-8(531) | CBA_Midwest_OLC 2-2(230) | Austin_South_OLC 5-8(159) | Fortius_South_CRC 5-8(159)
U11,BS,16,Henry Qiu,979,4,8,SPBA_Midwest_ORC 13-16(340) | Bellevue_NW_ORC 17-32(213) | LIBC_NE_ORC 17-32(213) | DFW_South_ORC 17-32(213)
U11,BS,17,Abhinav Praveen,973,4,6,Arena_SoCal_ORC 9-16(340) | DFW_South_ORC 9-16(340) | Junior_Nationals 49-64(191) | CanAm_NorCal_OLC 13-16(102)
U11,BS,18,Matthew Alexander Lau,967,4,7,Arena_SoCal_ORC 9-16(340) | Dave_Freeman_OLC 1-1(255) | DFW_South_ORC 17-32(213) | CanAm_NorCal_OLC 5-8(159)
U11,BS,19,Ethan Li,916,4,9,Bellevue_NW_ORC 9-16(340) | Arena_SoCal_ORC 17-32(213) | Capital_NE_OLC 4-4(204) | SGVBC_SoCal_CRC 5-8(159)
U11,BS,20,Aaditya Lanka,894,4,11,Junior_Nationals 33-48(255) | LIBC_NE_ORC 17-32(213) | Synergy_NorCal_ORC 17-32(213) | Arena_SoCal_ORC 17-32(213)
U11,BS,21,Tejesh Talanki,885,4,5,SPBA_Midwest_ORC 13-16(340) | Seattle_NW_CRC 2-2(230) | Bellevue_NW_ORC 17-32(213) | OBA_NW_OLC 13-16(102)
